STATION,STATION_NAME,DATE,HPCP
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910318 04:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910318 06:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910321 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910322 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 03:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 09:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 11:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910323 19:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910326 21:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910327 03:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910327 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910327 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910329 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910330 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910330 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910330 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910401 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910401 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910405 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910405 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910409 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910409 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910413 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910413 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910413 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910413 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910414 08:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910414 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910414 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910414 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910415 04:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910415 11:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910415 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910415 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910416 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910419 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910420 05:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 10:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 14:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 16:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 17:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910421 22:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910422 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910501 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 01:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 02:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 09:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 11:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 13:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 17:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910506 18:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910509 12:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910513 20:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910517 14:00,0.40
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910517 15:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910601 01:00,0.00
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910616 22:00,0.50
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910616 23:00,0.10
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910618 06:00,0.20
COOP:181530,CATOCTIN MOUNTAIN PARK MD US,19910618 07:00,0.20
